news_id,publish_time,lifespan_end
N46057,2019-11-09 00:00:19,2019-11-10 12:00:19
N55582,2019-11-09 00:00:19,2019-11-10 12:00:19
N41858,2019-11-09 00:00:19,2019-11-10 12:00:19
N25785,2019-11-09 00:01:13,2019-11-10 12:01:13
N50135,2019-11-09 00:01:13,2019-11-10 12:01:13
N57768,2019-11-09 00:01:13,2019-11-10 12:01:13
N3491,2019-11-09 00:01:13,2019-11-10 12:01:13
N16560,2019-11-09 00:01:13,2019-11-10 12:01:13
N52433,2019-11-09 00:02:44,2019-11-10 12:02:44
N43083,2019-11-09 00:02:50,2019-11-10 12:02:50
N48925,2019-11-09 00:03:09,2019-11-10 12:03:09
N3652,2019-11-09 00:03:28,2019-11-10 12:03:28
N3128,2019-11-09 00:03:28,2019-11-10 12:03:28
N47020,2019-11-09 00:04:04,2019-11-10 12:04:04
N59030,2019-11-09 00:04:04,2019-11-10 12:04:04
N33981,2019-11-09 00:04:19,2019-11-10 12:04:19
N64536,2019-11-09 00:04:35,2019-11-10 12:04:35
N34520,2019-11-09 00:04:46,2019-11-10 12:04:46
N41881,2019-11-09 00:05:52,2019-11-10 12:05:52
N42488,2019-11-09 00:06:44,2019-11-10 12:06:44
N4247,2019-11-09 00:06:44,2019-11-10 12:06:44
N26066,2019-11-09 00:06:44,2019-11-10 12:06:44
N6868,2019-11-09 00:07:37,2019-11-10 12:07:37
N48578,2019-11-09 00:08:23,2019-11-10 12:08:23
N3894,2019-11-09 00:08:23,2019-11-10 12:08:23
N43492,2019-11-09 00:10:13,2019-11-10 12:10:13
N51185,2019-11-09 00:10:13,2019-11-10 12:10:13
N11708,2019-11-09 00:11:00,2019-11-10 12:11:00
N62801,2019-11-09 00:11:06,2019-11-10 12:11:06
N7938,2019-11-09 00:14:30,2019-11-10 12:14:30
N5948,2019-11-09 00:16:38,2019-11-10 12:16:38
N38330,2019-11-09 00:16:38,2019-11-10 12:16:38
N45543,2019-11-09 00:16:38,2019-11-10 12:16:38
N64502,2019-11-09 00:16:38,2019-11-10 12:16:38
N2810,2019-11-09 00:17:01,2019-11-10 12:17:01
N12523,2019-11-09 00:17:06,2019-11-10 12:17:06
N19099,2019-11-09 00:17:28,2019-11-10 12:17:28
N8913,2019-11-09 00:18:23,2019-11-10 12:18:23
N57005,2019-11-09 00:18:23,2019-11-10 12:18:23
N7128,2019-11-09 00:19:46,2019-11-10 12:19:46
N47422,2019-11-09 00:20:12,2019-11-10 12:20:12
